Categoria,Seccion,Regla_Negocio
Política de cancelaciones y reagendamiento,¿Puedo reagendar una consulta para otro médico?,"Sí. Si el paciente desea ser atendido por otro especialista, podrá solicitar el cambio. La nueva cita dependerá de la disponibilidad del médico seleccionado."
Política de cancelaciones y reagendamiento,¿Qué pasa si llego el día equivocado a mi cita?,"El personal verificará la agenda y, si existe disponibilidad, intentará brindar atención ese mismo día. Si no fuera posible, se programará una nueva cita en la fecha más conveniente."
Política de cancelaciones y reagendamiento,¿Cómo sé que mi cancelación fue registrada?,"Una vez procesada la solicitud, la clínica confirmará la cancelación mediante el mismo canal utilizado por el paciente o por el medio de contacto registrado en su expediente."
Política de cancelaciones y reagendamiento,¿Puedo cancelar una cita fuera del horario de atención?,"Si la clínica cuenta con medios electrónicos disponibles, el paciente podrá enviar su solicitud fuera del horario laboral. La cancelación será procesada cuando el personal reanude actividades."
Política de cancelaciones y reagendamiento,¿Qué sucede si necesito cambiar mi cita por enfermedad?,"La clínica comprenderá este tipo de situaciones e intentará ofrecer una nueva fecha lo antes posible, procurando mantener la continuidad de la atención médica."
Guía de convenios y coberturas médicas,¿Mi seguro cubre consultas de seguimiento?,"La cobertura dependerá del contrato establecido con la aseguradora. Algunos planes incluyen consultas subsecuentes, mientras que otros únicamente cubren la consulta inicial."
Guía de convenios y coberturas médicas,¿Necesito presentar nuevamente mi póliza en cada consulta?,En algunos casos sí. Esto permite verificar que la póliza continúa vigente y que la cobertura permanece activa al momento de recibir el servicio.
Guía de convenios y coberturas médicas,¿Qué sucede si cambio de aseguradora?,El paciente deberá informar el cambio antes de recibir atención para que la clínica pueda validar la nueva cobertura y solicitar la documentación correspondiente.
Guía de convenios y coberturas médicas,¿Los procedimientos médicos requieren autorización?,"Algunos procedimientos, cirugías o estudios especializados requieren autorización previa de la aseguradora. La clínica orientará al paciente sobre la documentación necesaria para realizar este proceso."
Guía de convenios y coberturas médicas,¿Qué ocurre si la aseguradora rechaza el pago después de la atención?,"Si la aseguradora determina que el servicio no está cubierto, el paciente deberá cubrir el importe correspondiente conforme a las políticas administrativas de la clínica."
Instrucciones pre y post consulta,¿Debo guardar reposo después de mi consulta?,"El reposo dependerá del diagnóstico y de las indicaciones específicas del médico. Algunos pacientes pueden continuar con sus actividades habituales, mientras que otros necesitarán limitar esfuerzos físicos durante un periodo determinado."
Instrucciones pre y post consulta,¿Puedo conducir después de recibir medicamentos?,"Algunos medicamentos pueden provocar sueño, mareo o disminución de la concentración. Si el médico indica un tratamiento con estos efectos, es recomendable evitar conducir vehículos o manejar maquinaria hasta conocer cómo reacciona el organismo."
Instrucciones pre y post consulta,¿Qué hago si olvidé tomar una dosis de mi medicamento?,El paciente debe seguir las indicaciones proporcionadas por el médico o consultar al personal de salud antes de modificar el tratamiento. No se recomienda duplicar dosis sin autorización médica.
